Date	Unit	Страна	Объем
2008	mln units	Spain	1.943049
2008	mln units	Sweden	0.252287
2008	mln units	Taiwan	0.138714
2008	mln units	Thailand	0.401309
2008	mln units	Turkey	0.621567
2008	mln units	Ukraine	0.400799
2008	mln units	United Kingdom	1.446619
2008	mln units	United States	3.776641
2008	mln units	Uzbekistan	0.195038
2009	mln units	Argentina	0.380067
2009	mln units	Australia	0.188158
2009	mln units	Austria	0.05662
2009	mln units	Belgium	0.524595
2009	mln units	Brazil	2.575418
2009	mln units	Canada	0.822267
2009	mln units	China	10.383831
2009	mln units	Colombia	0.069
2009	mln units	Czech Republic	0.976435
2009	mln units	Egypt	0.060249
2009	mln units	Finland	0.010907
2009	mln units	France	1.819497
2009	mln units	Germany	4.964523
2009	mln units	Hungary	0.212773
2009	mln units	India	2.17522
2009	mln units	Indonesia	0.352172
2009	mln units	Iran	1.170503
2009	mln units	Italy	0.6611
2009	mln units	Kazakhstan	-0.145151973024907
2009	mln units	Japan	6.862161
2009	mln units	Malaysia	0.447002
2009	mln units	Mexico	0.942876
2009	mln units	Morocco	0.370680272082267
2009	mln units	Netherlands	0.05062
2009	mln units	Poland	0.8188
2009	mln units	Portugal	0.10168
2009	mln units	Romania	0.27932
2009	mln units	Russia	0.599265
2009	mln units	Serbia	0.016337
2009	mln units	Slovakia	0.46134
2009	mln units	Slovenia	0.20257
2009	mln units	South Africa	0.222981
2009	mln units	South Korea	3.158417
2009	mln units	Spain	1.812688
2009	mln units	Sweden	0.128738
2009	mln units	Taiwan	0.183986
2009	mln units	Thailand	0.313442
2009	mln units	Turkey	0.510931
2009	mln units	Ukraine	0.065646
2009	mln units	United Kingdom	0.99946
2009	mln units	United States	2.195588
2009	mln units	Uzbekistan	0.1102
2010	mln units	Argentina	0.508401
2010	mln units	Australia	0.205334
2010	mln units	Austria	0.086183
2010	mln units	Belgium	0.528996
2010	mln units	Brazil	2.58469
2010	mln units	Canada	0.967077
2010	mln units	China	13.897083
2010	mln units	Colombia	0.069
2010	mln units	Czech Republic	1.069518
2010	mln units	Egypt	0.076412
2010	mln units	Finland	0.006385
2010	mln units	France	1.924171
2010	mln units	Germany	5.552409
2010	mln units	Hungary	0.208571
2010	mln units	India	2.831542
2010	mln units	Indonesia	0.496524
2010	mln units	Iran	1.367014
2010	mln units	Italy	0.573169
2010	mln units	Kazakhstan	-0.12617360584477
2010	mln units	Japan	8.310362
2010	mln units	Malaysia	0.522568
2010	mln units	Mexico	1.386148
2010	mln units	Morocco	0.370680272082267
2010	mln units	Netherlands	0.048025
2010	mln units	Poland	0.785
2010	mln units	Portugal	0.114563
2010	mln units	Romania	0.323587
2010	mln units	Russia	1.208362
2010	mln units	Serbia	0.017384
2010	mln units	Slovakia	0.561933
2010	mln units	Slovenia	0.201039
2010	mln units	South Africa	0.295394
2010	mln units	South Korea	3.866206
2010	mln units	Spain	1.789441
2010	mln units	Sweden	0.177084
2010	mln units	Taiwan	0.25149
2010	mln units	Thailand	0.554387
2010	mln units	Turkey	0.603394
2010	mln units	Ukraine	0.075261
2010	mln units	United Kingdom	1.270444
2010	mln units	United States	2.731105
2010	mln units	Uzbekistan	0.201251
2011	mln units	Argentina	0.577233
2011	mln units	Australia	0.189503
2011	mln units	Austria	0.130343
2011	mln units	Belgium	0.560779
2011	mln units	Brazil	2.534534
2011	mln units	Canada	0.990483
2011	mln units	China	14.485326
2011	mln units	Colombia	0.069
2011	mln units	Czech Republic	1.191968
2011	mln units	Egypt	0.053072
2011	mln units	Finland	0.00254
2011	mln units	France	1.93103
2011	mln units	Germany	5.871918
2011	mln units	Hungary	0.211218
2011	mln units	India	3.038332
2011	mln units	Indonesia	0.561863
2011	mln units	Iran	1.413276
2011	mln units	Italy	0.485606
2011	mln units	Kazakhstan	-0.107195238664634
2011	mln units	Japan	7.158525
2011	mln units	Malaysia	0.488441
2011	mln units	Mexico	1.65708
2011	mln units	Morocco	0.370680272082267
2011	mln units	Netherlands	0.040772
2011	mln units	Poland	0.722285
2011	mln units	Portugal	0.141779
2011	mln units	Romania	0.310243
2011	mln units	Russia	1.738163
2011	mln units	Serbia	0.025494
2011	mln units	Slovakia	0.639763
2011	mln units	Slovenia	0.168955
2011	mln units	South Africa	0.312265
2011	mln units	South Korea	4.221617
2011	mln units	Spain	1.766194
2011	mln units	Sweden	0.188969
2011	mln units	Taiwan	0.288523
2011	mln units	Thailand	0.537987
2011	mln units	Turkey	0.639734
2011	mln units	Ukraine	0.097585
2011	mln units	United Kingdom	1.34381
2011	mln units	United States	2.966133
2011	mln units	Uzbekistan	0.1463
2012	mln units	Argentina	0.497376
2012	mln units	Australia	0.17848
2012	mln units	Austria	0.124
2012	mln units	Belgium	0.507204
2012	mln units	Brazil	2.623704
2012	mln units	Canada	1.040298
2012	mln units	China	15.523658
2012	mln units	Colombia	0.069
2012	mln units	Czech Republic	1.171774
2012	mln units	Egypt	0.03688
2012	mln units	Finland	0.0029
2012	mln units	France	1.682814
2012	mln units	Germany	5.388456
2012	mln units	Hungary	0.21544
2012	mln units	India	3.285496
2012	mln units	Indonesia	0.743501
2012	mln units	Iran	0.848
2012	mln units	Italy	0.396817
2012	mln units	Kazakhstan	-0.0882168714844969
2012	mln units	Japan	8.554219
2012	mln units	Malaysia	0.5104
2012	mln units	Mexico	1.810007
2012	mln units	Morocco	0.370680272082267
2012	mln units	Netherlands	0.028
2012	mln units	Poland	0.54
2012	mln units	Portugal	0.115735
2012	mln units	Romania	0.326556
2012	mln units	Russia	1.968789
2012	mln units	Serbia	0.010227
2012	mln units	Slovakia	0.9
2012	mln units	Slovenia	0.126836
2012	mln units	South Africa	0.274873
2012	mln units	South Korea	4.167089
2012	mln units	Spain	1.742947
2012	mln units	Sweden	0.162814
2012	mln units	Taiwan	0.278043
2012	mln units	Thailand	0.957623
2012	mln units	Turkey	0.57666
2012	mln units	Ukraine	0.069687
2012	mln units	United Kingdom	1.464906
2012	mln units	United States	4.105853
2012	mln units	Uzbekistan	0.14498
2013	mln units	Argentina	0.506539
2013	mln units	Australia	0.185427
2013	mln units	Austria	0.14832
2013	mln units	Belgium	0.4496
2013	mln units	Brazil	2.742309
2013	mln units	Canada	0.965191
2013	mln units	China	18.085213
2013	mln units	Colombia	0.069
2013	mln units	Czech Republic	1.128473
2013	mln units	Egypt	0.02565
2013	mln units	Finland	0.00333
2013	mln units	France	1.46
2013	mln units	Germany	5.439904
2013	mln units	Hungary	0.22
2013	mln units	India	3.138988
2013	mln units	Indonesia	0.925111
2013	mln units	Iran	0.630639
2013	mln units	Italy	0.388465
2013	mln units	Kazakhstan	-0.0692385043043601
2013	mln units	Japan	8.189323
2013	mln units	Malaysia	0.5402
2013	mln units	Mexico	1.771987
2013	mln units	Morocco	0.370680272082267
2013	mln units	Netherlands	0.0326233333333333
2013	mln units	Poland	0.475
2013	mln units	Portugal	0.109698
2013	mln units	Romania	0.410959
2013	mln units	Russia	1.919636
2013	mln units	Serbia	0.0101
2013	mln units	Slovakia	0.975
2013	mln units	Slovenia	0.089395
2013	mln units	South Africa	0.265257
2013	mln units	South Korea	4.122604
2013	mln units	Spain	1.7197
2013	mln units	Sweden	0.16108
2013	mln units	Taiwan	0.291037
2013	mln units	Thailand	1.12278
2013	mln units	Turkey	0.633604
2013	mln units	Ukraine	0.045758
2013	mln units	United Kingdom	1.509762
2013	mln units	United States	4.346958
2013	mln units	Uzbekistan	0.13374
2014	mln units	Argentina	0.363711
2014	mln units	Australia	0.145607
2014	mln units	Austria	0.135
2014	mln units	Belgium	0.481637
2014	mln units	Brazil	2.314789
2014	mln units	Canada	0.913533
2014	mln units	China	19.919795
2014	mln units	Colombia	0.069
2014	mln units	Czech Republic	1.246506
2014	mln units	Egypt	0.017542
2014	mln units	Finland	0.045
2014	mln units	France	1.499464
2014	mln units	Germany	5.604026
2014	mln units	Hungary	0.434069
2014	mln units	India	3.158215
2014	mln units	Indonesia	1.01126
2014	mln units	Iran	0.925975
2014	mln units	Italy	0.401317
2014	mln units	Kazakhstan	-0.0502601371242234
2014	mln units	Japan	8.27707
2014	mln units	Malaysia	0.54715
2014	mln units	Mexico	1.915709
2014	mln units	Morocco	0.370680272082267
2014	mln units	Netherlands	0.0372466666666667
2014	mln units	Poland	0.473
2014	mln units	Portugal	0.117744
2014	mln units	Romania	0.391422
2014	mln units	Russia	1.692505
2014	mln units	Serbia	0.101576
2014	mln units	Slovakia	0.97116
2014	mln units	Slovenia	0.118533
2014	mln units	South Africa	0.277491
2014	mln units	South Korea	4.124116
2014	mln units	Spain	1.898342
2014	mln units	Sweden	0.154173
2014	mln units	Taiwan	0.332629
2014	mln units	Thailand	0.742678
2014	mln units	Turkey	0.733439
2014	mln units	Ukraine	0.025941
2014	mln units	United Kingdom	1.528148
2014	mln units	United States	4.253098
2014	mln units	Uzbekistan	0.24566
2015	mln units	Argentina	0.308756
2015	mln units	Australia	0.159872
2015	mln units	Austria	0.109
2015	mln units	Belgium	0.369172
2015	mln units	Brazil	2.018954
2015	mln units	Canada	0.888565
2015	mln units	China	21.079427
2015	mln units	Colombia	0.069
2015	mln units	Czech Republic	1.298236
2015	mln units	Egypt	0.012
2015	mln units	Finland	0.069
2015	mln units	France	1.5538
2015	mln units	Germany	5.707938
2015	mln units	Hungary	0.49172
2015	mln units	India	3.378063
2015	mln units	Indonesia	0.824445
2015	mln units	Iran	0.884866
2015	mln units	Italy	0.663139
2015	mln units	Kazakhstan	-0.0312817699440866
2015	mln units	Japan	7.830722
2015	mln units	Malaysia	0.558324
2015	mln units	Mexico	1.968054
2015	mln units	Morocco	0.370680272082267
2015	mln units	Netherlands	0.04187
2015	mln units	Poland	0.5347
2015	mln units	Portugal	0.115468
2015	mln units	Romania	0.387171
2015	mln units	Russia	1.214849
2015	mln units	Serbia	0.0824
2015	mln units	Slovakia	1.000001
2015	mln units	Slovenia	0.133092
2015	mln units	South Africa	0.341025
2015	mln units	South Korea	4.135108
2015	mln units	Spain	2.21898
2015	mln units	Sweden	0.188987
2015	mln units	Taiwan	0.298418
2015	mln units	Thailand	0.77225
2015	mln units	Turkey	0.791027
2015	mln units	Ukraine	0.005654
2015	mln units	United Kingdom	1.587677
2015	mln units	United States	4.163679
2015	mln units	Uzbekistan	0.1854
2016	mln units	Argentina	0.241315
2016	mln units	Australia	0.149
2016	mln units	Austria	0.09
2016	mln units	Belgium	0.354003
2016	mln units	Brazil	1.778464
2016	mln units	Canada	0.802057
2016	mln units	China	24.420744
2016	mln units	Colombia	0.069
2016	mln units	Czech Republic	1.344182
2016	mln units	Egypt	0.01093
2016	mln units	Finland	0.05528
2016	mln units	France	1.626
2016	mln units	Germany	5.746808
2016	mln units	Hungary	0.472
2016	mln units	India	3.677605
2016	mln units	Indonesia	0.968101
2016	mln units	Iran	1.074
2016	mln units	Italy	0.713182
2016	mln units	Kazakhstan	-0.0123034027639498
2016	mln units	Japan	7.873886
2016	mln units	Malaysia	0.46972
2016	mln units	Mexico	1.993168
2016	mln units	Morocco	0.370680272082267
2016	mln units	Netherlands	0.04215
2016	mln units	Poland	0.5546
2016	mln units	Portugal	0.0992
2016	mln units	Romania	0.358861
2016	mln units	Russia	1.124774
2016	mln units	Serbia	0.07936
2016	mln units	Slovakia	1.04
2016	mln units	Slovenia	0.133702
2016	mln units	South Africa	0.335539
2016	mln units	South Korea	3.859991
2016	mln units	Spain	2.354117
2016	mln units	Sweden	0.205374
2016	mln units	Taiwan	0.251096
2016	mln units	Thailand	0.805033
2016	mln units	Turkey	0.950888
2016	mln units	Ukraine	0.00434
2016	mln units	United Kingdom	1.722698
2016	mln units	United States	3.934357
2016	mln units	Uzbekistan	0.088152
2017	mln units	Argentina	0.2037
2017	mln units	Australia	0.088195
2017	mln units	Austria	0.081
2017	mln units	Belgium	0.336
2017	mln units	Brazil	2.269468
2017	mln units	Canada	0.749458
2017	mln units	China	24.806687
2017	mln units	Colombia	0.069
2017	mln units	Czech Republic	1.413881
2017	mln units	Egypt	0.00997
2017	mln units	Finland	0.091598
2017	mln units	France	1.748
2017	mln units	Germany	5.645581
2017	mln units	Hungary	0.502
2017	mln units	India	3.95255
2017	mln units	Indonesia	0.982356
2017	mln units	Iran	1.41855
2017	mln units	Italy	0.742642
2017	mln units	Kazakhstan	0.00667496441618692
2017	mln units	Japan	8.347836
2017	mln units	Malaysia	0.42488
2017	mln units	Mexico	1.900029
2017	mln units	Morocco	0.341802
2017	mln units	Netherlands	0.155
2017	mln units	Poland	0.5147
2017	mln units	Portugal	0.126426
2017	mln units	Romania	0.35924
2017	mln units	Russia	1.348029
2017	mln units	Serbia	0.07936
2017	mln units	Slovakia	1.00152
2017	mln units	Slovenia	0.189852
2017	mln units	South Africa	0.321358
2017	mln units	South Korea	3.735399
2017	mln units	Spain	2.291492
2017	mln units	Sweden	0.226
2017	mln units	Taiwan	0.230356
2017	mln units	Thailand	0.81844
2017	mln units	Turkey	1.142906
2017	mln units	Ukraine	0.007296
2017	mln units	United Kingdom	1.671166
2017	mln units	United States	3.033216
2017	mln units	Uzbekistan	0.140247
2018	mln units	Argentina	0.208573
2018	mln units	Australia	0.101696964280418
2018	mln units	Austria	0.1445
2018	mln units	Belgium	0.265958
2018	mln units	Brazil	2.386758
2018	mln units	Canada	0.655896
2018	mln units	China	23.529423
2018	mln units	Colombia	0.069
2018	mln units	Czech Republic	1.345041
2018	mln units	Egypt	0.0195
2018	mln units	Finland	0.112104
2018	mln units	France	1.763
2018	mln units	Germany	5.120409
2018	mln units	Hungary	0.430988
2018	mln units	India	4.064774
2018	mln units	Indonesia	1.055774
2018	mln units	Iran	1.027313
2018	mln units	Italy	0.670932
2018	mln units	Kazakhstan	0.0256533315963237
2018	mln units	Japan	8.35822
2018	mln units	Malaysia	0.522
2018	mln units	Mexico	1.575808
2018	mln units	Morocco	0.368601
2018	mln units	Netherlands	0.160486349265743
