Год	Ед. Изм.	Страна	Объем
2010	млн штук	Сан-Томе и Принсипи	0.00046
2010	млн штук	Фолклендские (Мальвинские) острова	0.000112
2010	млн штук	остров Рождества	0.000232
2010	млн штук	Монтсеррат	7.9e-05
2010	млн штук	Острова Уоллис и Футуна	1.8e-05
2010	млн штук	Британская территория в Индийском океане	1.35e-05
2010	млн штук	Южные земли (французская заморская территория)	1.25e-05
2010	млн штук	Бермудские острова	0.00104990909090909
2010	млн штук	Американское Самоа	1.75e-06
2010	млн штук	Ниуэ	7.58888888888889e-05
2010	млн штук	Тонга	0.002357
2010	млн штук	Испания	0.861221
2010	млн штук	Самоа	0.001893
2010	млн штук	Бенин	0.004156
2010	млн штук	Венгрия	0.090327
2010	млн штук	Мексика	0.732263
2010	млн штук	Намибия	0.02246
2010	млн штук	Китай, Специальный административный район Макао	0.00799933333333333
2010	млн штук	Мали	0.006375
2010	млн штук	Ливия	0.116462
2010	млн штук	Лаосская Народно-Демократическая Республика	0.001044
2010	млн штук	Ливан	0.069722
2010	млн штук	Кувейт	0.110818
2010	млн штук	Науру	3.34444444444444e-05
2010	млн штук	Непал	0.086811
2010	млн штук	Нидерландские Антильские Острова	0.0094535
2010	млн штук	Кюрасао	0.007963
2010	млн штук	Синт-Мартен (нидерландская часть)	0.000894
2010	млн штук	Бонайре, Синт-Эстатиус и Саба	0.000171333333333333
2010	млн штук	Новая Каледония	0.010166
2010	млн штук	Вануату	0.000661
2010	млн штук	Оман	0.109457
2010	млн штук	Гаити	0.0315242
2010	млн штук	Иран (Исламская Республика)	0.070122
2010	млн штук	Ирак	0.145033
2010	млн штук	Корейская Народно-Демократическая Республика	0.003226
2010	млн штук	Гибралтар	0.002497
2010	млн штук	Кирибати	0.000178
2010	млн штук	Гвинея	912.355564
2010	млн штук	Государство Палестина	0.006999
2010	млн штук	Гренландия	0.000321
2010	млн штук	Экваториальная Гвинея	
2010	млн штук	Фарерские острова	0.000879
2010	млн штук	Эритрея	
2010	млн штук	Кокосовых (Килинг) островов	2e-05
2010	млн штук	Острова Кука	0.000303666666666667
2010	млн штук	Куба	0.005855
2010	млн штук	Чад	
2010	млн штук	Кайман острова	0.0043005
2010	млн штук	Коморские Острова	0.003182
2010	млн штук	Остров Майотта	0.00215166666666667
2010	млн штук	Конго	0.004533
2010	млн штук	Ангола	0.028018
2010	млн штук	Афганистан	0.0145951111111111
2010	млн штук	Албания	0.608258
2010	млн штук	Алжир	0.171013
2010	млн штук	Бангладеш	33.23968
2010	млн штук	Соломоновы Острова	0.003062
2010	млн штук	Британские Виргинские острова	0.000788
2010	млн штук	Остров Буве	1.33333333333333e-06
2010	млн штук	Камерун	0.006695
2010	млн штук	Бурунди	0.001973
2010	млн штук	Беларусь	0.009397
2010	млн штук	Йемен	0.044622
2010	млн штук	Сербия и Черногория	0.0310746666666667
2010	млн штук	Внешние малые острова Соединенных Штатов	0.003539
2010	млн штук	Узбекистан	0.0216668333333333
2010	млн штук	Венесуэла (Боливарианская Республика)	0.015044
2010	млн штук	Южный Судан	
2010	млн штук	Судан	0.0163018333333333
2010	млн штук	Западная Сахара	1e-05
2010	млн штук	Судан (до 2012)	0.152495
2010	млн штук	Вьетнам	0.036299
2010	млн штук	Сомали	0.000468666666666667
2010	млн штук	Сирийская Арабская Республика	0.045995
2010	млн штук	Суда и бункеры	6e-06
2010	млн штук	Токелау	2e-05
2010	млн штук	Объединенные Арабские Эмираты	0.734402
2010	млн штук	Туркменистан	0.009828
2010	млн штук	Острова Теркс и Кайкос	0.000807333333333333
2010	млн штук	Тувалу	7.33333333333333e-06
2010	млн штук	Северные Марианские острова	0.000324
2010	млн штук	Микронезия (Федеративные Штаты)	0.00088
2010	млн штук	Маршалловы Острова	0.000297
2010	млн штук	Палау	0.0015135
2010	млн штук	Папуа-Новая Гвинея	0.0174798571428571
2010	млн штук	Питкэрн	2e-06
2010	млн штук	Саудовская Аравия	0.501052
2010	млн штук	Сьерра-Леоне	0.0120446
2010	млн штук	Катар	0.105463
2010	млн штук	Гвинея-Бисау	0.000999
2010	млн штук	Российская Федерация	0.686607
2010	млн штук	Руанда	0.003521
2010	млн штук	Остров Святой Елены	0.00011
2010	млн штук	Сент-Китс и Невис	0.000541
2010	млн штук	Ангилья	0.00026
2010	млн штук	Сент-Люсия	0.001718
2010	млн штук	Сен-Пьер и Микелон	0.00027
2011	млн штук	Джибути	5.2533545
2011	млн штук	Соединенные Штаты Америки	5.876638
2011	млн штук	Германия	3.0987
2011	млн штук	Франция	2.442956
2011	млн штук	Пакистан	0.798071
2011	млн штук	Соединенное Королевство Великобритании и Северной Ирландии	2.229962
2011	млн штук	Бельгия	1.404958
2011	млн штук	Италия	1.662838
2011	млн штук	Канада	1.150876
2011	млн штук	Австралия	0.732063
2011	млн штук	Турция	0.501287
2011	млн штук	Китай	1.017123
2011	млн штук	Нидерланды	0.74514
2011	млн штук	Швеция	0.334104
2011	млн штук	Польша	0.316193
2011	млн штук	Греция	0.213217
2011	млн штук	Филиппины	0.129416
2011	млн штук	Нигерия	1.775657
2011	млн штук	Австрия	0.429107
2011	млн штук	Япония	0.275796
2011	млн штук	Португалия	0.280683
2011	млн штук	Словакия	0.080228
2011	млн штук	Швейцария	0.36798
2011	млн штук	Республика Корея	0.191304
2011	млн штук	Украина	0.189903
2011	млн штук	Южная Африка	0.068768
2011	млн штук	Таиланд	0.074142
2011	млн штук	Ирландия	0.091697
2011	млн штук	Чехия	0.160999
2011	млн штук	Бразилия	0.815696
2011	млн штук	Новая Зеландия	0.166191
2011	млн штук	Сербия	0.1226
2011	млн штук	Дания	0.222824
2011	млн штук	Гватемала	0.09029
2011	млн штук	Израиль	0.226014
