Date	measure	Country	Volume
2001	mln units	Denmark	1.8726
2001	mln units	Germany	43.77226
2001	mln units	Estonia	0.4073
2001	mln units	Ireland	1.3847
2001	mln units	Greece	3.423704
2001	mln units	Spain	18.15
2001	mln units	France	30.3305
2001	mln units	Croatia	1.1955
2001	mln units	Italy	33.239029
2001	mln units	Cyprus	0.2801
2001	mln units	Latvia	0.5862
2001	mln units	Lithuania	1.133477
2001	mln units	Luxembourg	0.280709
2001	mln units	Hungary	2.482827
2001	mln units	Malta	0.1954
2001	mln units	Netherlands	6.710595
2001	mln units	Austria	4.182
2001	mln units	Poland	10.503
2001	mln units	Portugal	4.692002035815
2001	mln units	Romania	2.8812
2001	mln units	Slovenia	0.881487
2001	mln units	Slovakia	1.2929
2001	mln units	Finland	2.1606
2001	mln units	Sweden	4.0185
2001	mln units	United Kingdom	25.354046
2001	mln units	Iceland	0.148048927427455
2001	mln units	Liechtenstein	0.023
2001	mln units	Norway	1.81656891396872
2001	mln units	Switzerland	3.629713
2001	mln units	North Macedonia	0.263709480846306
2001	mln units	Albania	-0.286581040693601
2001	mln units	Serbia	0.816273941143699
2001	mln units	Türkiye	4.5348
2001	mln units	Bosnia and Herzegovina	0.619976140921752
2002	mln units	Belgium	4.7874
2002	mln units	Bulgaria	2.43573239163355
2002	mln units	Czechia	3.6471
2002	mln units	Denmark	1.8883
2002	mln units	Germany	44.383323
2002	mln units	Estonia	0.4007
2002	mln units	Ireland	1.4479
2002	mln units	Greece	3.646069
2002	mln units	Spain	18.735
2002	mln units	France	30.5909
2002	mln units	Croatia	1.2443
2002	mln units	Italy	33.706153
2002	mln units	Cyprus	0.2876
2002	mln units	Latvia	0.6191
2002	mln units	Lithuania	1.180945
2002	mln units	Luxembourg	0.287245
2002	mln units	Hungary	2.629526
2002	mln units	Malta	0.2019
2002	mln units	Netherlands	6.854947
2002	mln units	Austria	3.9871
2002	mln units	Poland	11.0289
2002	mln units	Portugal	4.692002035815
2002	mln units	Romania	2.9734
2002	mln units	Slovenia	0.894521
2002	mln units	Slovakia	1.3269
2002	mln units	Finland	2.19468
2002	mln units	Sweden	4.0428
2002	mln units	United Kingdom	25.992533
2002	mln units	Iceland	0.154932869229023
2002	mln units	Liechtenstein	0.023
2002	mln units	Norway	1.86952775758182
2002	mln units	Switzerland	3.700951
2002	mln units	North Macedonia	0.272463366037189
2002	mln units	Albania	-0.242588583075252
2002	mln units	Serbia	0.887249944473826
2002	mln units	Türkiye	4.6001
2002	mln units	Bosnia and Herzegovina	0.637331481088727
2003	mln units	Belgium	4.8209
2003	mln units	Bulgaria	2.43573239163355
2003	mln units	Czechia	3.706
2003	mln units	Denmark	1.8946
2003	mln units	Germany	44.657303
2003	mln units	Estonia	0.434
2003	mln units	Ireland	1.5071
2003	mln units	Greece	3.839549
2003	mln units	Spain	18.689
2003	mln units	France	30.5827
2003	mln units	Croatia	1.2934
2003	mln units	Italy	34.310446
2003	mln units	Cyprus	0.3025
2003	mln units	Latvia	0.649
2003	mln units	Lithuania	1.256853
2003	mln units	Luxembourg	0.293398
2003	mln units	Hungary	2.777219
2003	mln units	Malta	0.2088
2003	mln units	Netherlands	6.90889
2003	mln units	Austria	4.0543
2003	mln units	Poland	11.2438
2003	mln units	Portugal	4.692002035815
2003	mln units	Romania	3.0876
2003	mln units	Slovenia	0.910429
2003	mln units	Slovakia	1.3562
2003	mln units	Finland	2.27458
2003	mln units	Sweden	4.0754
2003	mln units	United Kingdom	26.43199
2003	mln units	Iceland	0.161816811030591
2003	mln units	Liechtenstein	0.024
2003	mln units	Norway	1.92248660119493
2003	mln units	Switzerland	3.75389
2003	mln units	North Macedonia	0.281217251228072
2003	mln units	Albania	-0.198596125456903
2003	mln units	Serbia	0.958225947803952
2003	mln units	Türkiye	4.7003
2003	mln units	Bosnia and Herzegovina	0.654686821255702
2004	mln units	Belgium	4.8744
2004	mln units	Bulgaria	2.438
2004	mln units	Czechia	3.816
2004	mln units	Denmark	1.9158
2004	mln units	Germany	45.022926
2004	mln units	Estonia	0.4712
2004	mln units	Ireland	1.5828
2004	mln units	Greece	4.073511
2004	mln units	Spain	19.542
2004	mln units	France	30.5372
2004	mln units	Croatia	1.3376
2004	mln units	Italy	33.973147
2004	mln units	Cyprus	0.3356
2004	mln units	Latvia	0.686
2004	mln units	Lithuania	1.315914
2004	mln units	Luxembourg	0.299759
2004	mln units	Hungary	2.828433
2004	mln units	Malta	0.2114
2004	mln units	Netherlands	6.991974
2004	mln units	Austria	4.1091
2004	mln units	Poland	11.9752
2004	mln units	Portugal	4.692002035815
2004	mln units	Romania	3.2254
